Product_name,Product_price,Product_URL,Brand,Location,Product_Rating
Samsung M12 3 32 4 64 GB RAM 3 4 ROM 32 64 Resmi SEIN,Rp1.635.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fqwmya-jual-samsung-m12-3-32-4-64-gb-ram-3-4-rom-32-64-resmi-sein,Samsung,Jakarta Pusat,5
HP Samsung A32 6GB . 8GB 128GB Kamera 4K Amoled Galaxy Android NFC RAM 6 . 8 ROM 128 5000 mAh  - Garansi Resmi,Rp3.470.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4dwk3ey-jual-hp-samsung-a32-6gb-8gb-128gb-kamera-4k-amoled-galaxy-android-nfc-ram-6-8-rom-128-5000-mah-garansi-resmi,Samsung,Jakarta Pusat,5
SAMSUNG GALAXY A12 RAM 4 128GB GARANSI RESMI SAMSUNG INDONESIA,Rp2.149.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/46mmhh3-jual-samsung-galaxy-a12-ram-4-128gb-garansi-resmi-samsung-indonesia,Samsung,Jakarta Timur,5
SAMSUNG GALAXY NOTE 8 RAM 6 GB - 64GB - Bekas - Second - Mulus,Rp2.950.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/3gh11tm-jual-samsung-galaxy-note-8-ram-6-gb-64gb-bekas-second-mulus,Samsung,Tangerang,4.7
Samsung A22 4G Ram 6/128 Gb Garansi Resmi,Rp2.849.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4g53ewv-jual-samsung-a22-4g-ram-6-128-gb-garansi-resmi,Samsung,Jakarta Barat,5
SAMSUNG GALAXY A12 RAM 6-128GB GARANSI RESMI SEIN,Rp2.399.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/46sfcaq-jual-samsung-galaxy-a12-ram-6-128gb-garansi-resmi-sein,Samsung,Jakarta Timur,5
SAMSUNG GALAXY M12 RAM 4GB ROM 64GB GARANSI RESMI,Rp1.875.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fhy251-jual-samsung-galaxy-m12-ram-4gb-rom-64gb-garansi-resmi,Samsung,Jakarta Utara,5
SAMSUNG GALAXY M32 RAM 8GB ROM 128GB GARANSI RESMI,Rp2.975.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4g6hibm-jual-samsung-galaxy-m32-ram-8gb-rom-128gb-garansi-resmi,Samsung,Jakarta Utara,5
SAMSUNG J5 PRO,Rp1.675.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/aianin-jual-samsung-j5-pro,Samsung,Jakarta Pusat,4.9
SAMSUNG A52S 5G 8/256 GB NFC,Rp5.750.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h47j0y-jual-samsung-a52s-5g-8-256-gb-nfc,Samsung,Jakarta Timur,None
SAMSUNG A52S 5G 8/256GB CASHBACK,Rp5.750.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h47hgd-jual-samsung-a52s-5g-8-256gb-cashback,Samsung,Jakarta Timur,None
Samsung lipat flip Caramel GT-E1272 samsung murah Hp New bisa bahasa indonesia handphone,Rp158.000,https://www.bukalapak.com/p/handphone/hp-smartphone/feature-phone/n1lopn-jual-samsung-lipat-flip-caramel-gt-e1272-samsung-murah-hp-new-bisa-bahasa-indonesia-handphone,Samsung,Jakarta Barat,4.6
Samsung Galaxy M12 Ram 4-64 Gb Garansi Resmi,Rp1.859.500,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4fgck9j-jual-samsung-galaxy-m12-ram-4-64-gb-garansi-resmi,Samsung,Jakarta Utara,5
Samsung A12 Ram 6-128 Gb Garansi Resmi,Rp2.357.500,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/48b5r9h-jual-samsung-a12-ram-6-128-gb-garansi-resmi,Samsung,Jakarta Utara,4.9
Samsung A52S 5G 8GB-256GB Garansi Resmi,Rp6.500.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gqo1sj-jual-samsung-a52s-5g-8gb-256gb-garansi-resmi,Samsung,Jakarta Timur,5
Samsung Galaxy A12 Ram 6 -128GB Resmi Samsung SEIN,Rp2.349.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/47o2afy-jual-samsung-galaxy-a12-ram-6-128gb-resmi-samsung-sein,Samsung,Jakarta Timur,5
Samsung Lipat Caramel GT E1272 garansi resmi,Rp144.000,https://www.bukalapak.com/p/handphone/hp-smartphone/feature-phone/2577u1g-jual-samsung-lipat-caramel-gt-e1272-garansi-resmi,Samsung,Jakarta Barat,4.3
Samsung Galaxy S8 64GB Dual Resmi SEIN Original Fullset paling Murah,Rp1.450.000,https://www.bukalapak.com/p/handphone/hp-smartphone/204e8eq-jual-samsung-galaxy-s8-64gb-dual-resmi-sein-original-fullset-paling-murah,Samsung,Depok,4.5
